link_id,matrix_ab,matrix_ba,matrix_tot,Congested_Time_AB,Congested_Time_BA,Congested_Time_Max,Delay_factor_AB,Delay_factor_BA,Delay_factor_Max,VOC_AB,VOC_BA,VOC_max,PCE_AB,PCE_BA,PCE_tot
21049,0.0,,0.0,0.0465555,,0.0465555,1.0,,1.0,0.0,,0.0,0.0,,0.0
21050,0.0,,0.0,0.0465555,,0.0465555,1.0,,1.0,0.0,,0.0,0.0,,0.0
21051,0.0,,0.0,0.09130949999999999,,0.09130949999999999,1.0,,1.0,0.0,,0.0,0.0,,0.0
21052,0.0,,0.0,0.120381,,0.120381,1.0,,1.0,0.0,,0.0,0.0,,0.0
21053,39.59841155491377,,39.59841155491377,0.1204988959021114,,0.1204988959021114,1.000979356394376,,1.000979356394376,0.028284579682081264,,0.028284579682081264,39.59841155491377,,39.59841155491377
21054,0.0,,0.0,0.48238650000000005,,0.48238650000000005,1.0,,1.0,0.0,,0.0,0.0,,0.0
21055,39.59841155491377,,39.59841155491377,0.48285892830333577,,0.48285892830333577,1.000979356394376,,1.000979356394376,0.028284579682081264,,0.028284579682081264,39.59841155491377,,39.59841155491377
21056,0.0,,0.0,0.7513635000000001,,0.7513635000000001,1.0,,1.0,0.0,,0.0,0.0,,0.0
21057,0.0,,0.0,0.7513635000000001,,0.7513635000000001,1.0,,1.0,0.0,,0.0,0.0,,0.0
21058,38.987805399896175,,38.987805399896175,0.04531010963252743,,0.04531010963252743,1.0009523412757069,,1.0009523412757069,0.02784843242849727,,0.02784843242849727,38.987805399896175,,38.987805399896175
21059,0.0,,0.0,0.22984200000000002,,0.22984200000000002,1.0,,1.0,0.0,,0.0,0.0,,0.0
21060,0.0,,0.0,0.184344,,0.184344,1.0,,1.0,0.0,,0.0,0.0,,0.0
21061,39.59841155491377,,39.59841155491377,0.0948508018532183,,0.0948508018532183,1.000979356394376,,1.000979356394376,0.028284579682081264,,0.028284579682081264,39.59841155491377,,39.59841155491377
21062,0.0,,0.0,0.1869075,,0.1869075,1.0,,1.0,0.0,,0.0,0.0,,0.0
21063,38.987805399896175,,38.987805399896175,0.21544147860298868,,0.21544147860298868,1.0009523412757069,,1.0009523412757069,0.02784843242849727,,0.02784843242849727,38.987805399896175,,38.987805399896175
21064,0.0,,0.0,2.783022,,2.783022,1.0,,1.0,0.0,,0.0,0.0,,0.0
21065,0.0,,0.0,2.783022,,2.783022,1.0,,1.0,0.0,,0.0,0.0,,0.0
21066,0.0,,0.0,2.7616169999999998,,2.7616169999999998,1.0,,1.0,0.0,,0.0,0.0,,0.0
21067,0.0,,0.0,2.7616169999999998,,2.7616169999999998,1.0,,1.0,0.0,,0.0,0.0,,0.0
21068,0.0,,0.0,2.8293779999999997,,2.8293779999999997,1.0,,1.0,0.0,,0.0,0.0,,0.0
21069,0.0,,0.0,2.8293779999999997,,2.8293779999999997,1.0,,1.0,0.0,,0.0,0.0,,0.0
21070,0.0,,0.0,2.617887,,2.617887,1.0,,1.0,0.0,,0.0,0.0,,0.0
21071,0.0,,0.0,2.617887,,2.617887,1.0,,1.0,0.0,,0.0,0.0,,0.0
21072,0.0,,0.0,2.893902,,2.893902,1.0,,1.0,0.0,,0.0,0.0,,0.0
21073,0.0,,0.0,2.893902,,2.893902,1.0,,1.0,0.0,,0.0,0.0,,0.0
21074,0.0,,0.0,2.55981,,2.55981,1.0,,1.0,0.0,,0.0,0.0,,0.0
21075,0.0,,0.0,2.55981,,2.55981,1.0,,1.0,0.0,,0.0,0.0,,0.0
21076,0.0,,0.0,2.3007600000000004,,2.3007600000000004,1.0,,1.0,0.0,,0.0,0.0,,0.0
21077,0.0,,0.0,2.3007600000000004,,2.3007600000000004,1.0,,1.0,0.0,,0.0,0.0,,0.0
21078,0.0,,0.0,2.601078,,2.601078,1.0,,1.0,0.0,,0.0,0.0,,0.0
21079,0.0,,0.0,2.601078,,2.601078,1.0,,1.0,0.0,,0.0,0.0,,0.0
21080,0.0,,0.0,2.360256,,2.360256,1.0,,1.0,0.0,,0.0,0.0,,0.0
21081,0.0,,0.0,2.360256,,2.360256,1.0,,1.0,0.0,,0.0,0.0,,0.0
21082,0.0,,0.0,2.660424,,2.660424,1.0,,1.0,0.0,,0.0,0.0,,0.0
21083,0.0,,0.0,2.660424,,2.660424,1.0,,1.0,0.0,,0.0,0.0,,0.0
21084,0.0,,0.0,2.712615,,2.712615,1.0,,1.0,0.0,,0.0,0.0,,0.0
21085,0.0,,0.0,2.712615,,2.712615,1.0,,1.0,0.0,,0.0,0.0,,0.0
21086,0.0,,0.0,2.422872,,2.422872,1.0,,1.0,0.0,,0.0,0.0,,0.0
21087,0.0,,0.0,2.422872,,2.422872,1.0,,1.0,0.0,,0.0,0.0,,0.0
21088,0.0,,0.0,2.13048,,2.13048,1.0,,1.0,0.0,,0.0,0.0,,0.0
21089,0.0,,0.0,2.13048,,2.13048,1.0,,1.0,0.0,,0.0,0.0,,0.0
21090,0.0,,0.0,2.7034830000000003,,2.7034830000000003,1.0,,1.0,0.0,,0.0,0.0,,0.0
21091,0.0,,0.0,2.7034830000000003,,2.7034830000000003,1.0,,1.0,0.0,,0.0,0.0,,0.0
21092,0.0,,0.0,2.1628979999999998,,2.1628979999999998,1.0,,1.0,0.0,,0.0,0.0,,0.0
21093,0.0,,0.0,2.1628979999999998,,2.1628979999999998,1.0,,1.0,0.0,,0.0,0.0,,0.0
21094,0.0,,0.0,2.425755,,2.425755,1.0,,1.0,0.0,,0.0,0.0,,0.0
21095,0.0,,0.0,2.425755,,2.425755,1.0,,1.0,0.0,,0.0,0.0,,0.0
21096,0.0,,0.0,2.1822060000000003,,2.1822060000000003,1.0,,1.0,0.0,,0.0,0.0,,0.0
21097,0.0,,0.0,2.1822060000000003,,2.1822060000000003,1.0,,1.0,0.0,,0.0,0.0,,0.0
21098,0.0,,0.0,1.9659600000000002,,1.9659600000000002,1.0,,1.0,0.0,,0.0,0.0,,0.0
21099,0.0,,0.0,1.9659600000000002,,1.9659600000000002,1.0,,1.0,0.0,,0.0,0.0,,0.0
21100,0.0,,0.0,1.9800600000000002,,1.9800600000000002,1.0,,1.0,0.0,,0.0,0.0,,0.0
21101,0.0,,0.0,1.9800600000000002,,1.9800600000000002,1.0,,1.0,0.0,,0.0,0.0,,0.0
