Node_ID,Lon,Lat,Tract_Node
0,-80.0540541,40.4435572,0
1,-80.0532337,40.4432305,0
2,-80.0546137,40.4437061,0
3,-80.0204537,40.4388432,0
4,-80.0214047,40.4392844,0
5,-80.0192976,40.4383425,0
6,-79.9725009,40.4477614,0
7,-79.9733262,40.4474111,0
8,-79.9717124,40.448096,0
9,-79.9738038,40.450123,0
10,-79.9729847,40.4504859,0
11,-79.9745876,40.4497988,0
12,-79.9435123,40.4396882,0
13,-79.9422539,40.4401478,0
14,-79.9458,40.4386615,0
15,-79.8963421,40.4691218,0
16,-79.8960685,40.4687637,0
17,-79.897107,40.4700727,0
18,-79.9232233,40.4317147,0
19,-79.9231497,40.4323578,0
20,-79.9234941,40.4296858,0
21,-80.0013307,40.4507783,0
22,-80.0008851,40.4508645,0
23,-80.0028633,40.4505084,0
24,-80.0009792,40.4496721,0
25,-79.9311225,40.4398432,0
26,-79.9308005,40.4399475,0
27,-79.9322551,40.4394792,0
28,-79.958473,40.4417794,0
29,-79.9591778,40.4412739,0
30,-79.9539378,40.4381113,0
31,-79.9534537,40.4385901,0
32,-79.9545315,40.4375446,0
33,-79.9524938,40.4369345,0
34,-79.9523963,40.437167,0
35,-79.9527802,40.4362177,0
36,-79.9114161,40.4469907,0
37,-79.9114302,40.446971,0
38,-79.9107953,40.4478535,0
39,-79.9237937,40.378991,0
40,-79.9170754,40.3721503,0
41,-79.9255391,40.3796208,0
42,-80.0362628,40.4071978,0
43,-80.0367385,40.4078163,0
44,-80.0343842,40.4072302,0
45,-80.0371637,40.4082564,0
46,-80.0373222,40.4084326,0
47,-80.0410727,40.4114316,0
48,-80.0427507,40.4134483,0
49,-80.0439033,40.4141847,0
50,-79.9841432,40.4288101,0
51,-79.985321,40.4287818,0
52,-79.9834156,40.4288276,0
53,-80.0137104,40.4629398,0
54,-80.0137664,40.4631577,0
55,-80.0133681,40.4625246,0
56,-80.0263231,40.3942523,0
57,-80.0250631,40.3948411,0
58,-80.0270965,40.3941813,0
59,-79.9612668,40.4694989,0
60,-79.9615253,40.4692885,0
64,-80.0691666,40.4585023,0
65,-80.0683508,40.4582024,0
66,-80.0698463,40.4584147,0
67,-79.9609017,40.4697991,0
68,-79.9563859,40.4457173,0
69,-79.9555355,40.4463281,0
70,-79.9572727,40.4450609,0
71,-79.954785,40.4444185,0
72,-79.9555594,40.4491595,0
73,-79.9549411,40.4509149,0
74,-79.9537478,40.4476266,0
75,-79.9879713,40.4608659,0
76,-79.9874979,40.4616173,0
77,-79.9886162,40.4607042,0
78,-79.8997735,40.448676,0
79,-79.899554,40.4486032,0
80,-79.9013193,40.4491881,0
81,-79.9130198,40.36975,0
82,-79.913908,40.4502067,0
83,-79.9129988,40.4497256,0
84,-79.9145803,40.45061,0
85,-79.9419486,40.4063489,0
86,-79.941353,40.4064985,0
87,-79.942979,40.406077,0
88,-79.9397291,40.4064679,0
89,-79.9817957,40.4659699,0
90,-79.9797763,40.4649927,0
91,-79.9823932,40.4666161,0
92,-79.9819058,40.4656982,0
93,-79.9827868,40.4671189,0
94,-79.9829348,40.4672555,0
95,-79.9416602,40.4257262,0
96,-79.9408721,40.4259182,0
97,-79.9424586,40.4255308,0
