"ID1","AB_Flow_PCE","BA_Flow_PCE","Tot_Flow_PCE","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF","AB_Flow_OD_Number","BA_Flow_OD_Number","AB_Flow","BA_Flow","Tot_Flow"
327,207.2338,674.6739,881.9077,0.134062,0.152154,0.152154,0.148024,0.48191,0.48191,20.2598,65.9581,86.2179,0.463038,1.71091,2.17395,43.7541,38.5515,0.134062,0.152154,0.152154,207.2338,674.6739,207.2338,674.6739,881.9077
329,227.0338,448.4739,675.5077,0.133821,0.141337,0.141337,0.162167,0.320338,0.320338,22.0659,43.5881,65.6539,0.506364,1.05643,1.5628,43.5771,41.2597,0.133821,0.141337,0.141337,227.0338,448.4739,227.0338,448.4739,675.5077
331,227.0338,448.4739,675.5077,0.131126,0.138491,0.138491,0.162167,0.320338,0.320338,21.6216,42.7104,64.3320,0.496168,1.03516,1.53133,43.5771,41.2597,0.131126,0.138491,0.138491,227.0338,448.4739,227.0338,448.4739,675.5077
333,227.0338,448.4739,675.5077,0.130902,0.138254,0.138254,0.162167,0.320338,0.320338,21.5846,42.6373,64.2219,0.495319,1.03339,1.52871,43.5771,41.2597,0.130902,0.138254,0.138254,227.0338,448.4739,227.0338,448.4739,675.5077
335,227.0338,448.4739,675.5077,0.149763,0.158175,0.158175,0.162167,0.320338,0.320338,24.6947,48.7810,73.4756,0.566689,1.18229,1.74898,43.5771,41.2597,0.149763,0.158175,0.158175,227.0338,448.4739,227.0338,448.4739,675.5077
337,227.0338,448.4739,675.5077,0.132811,0.140271,0.140271,0.162167,0.320338,0.320338,21.8994,43.2593,65.1588,0.502545,1.04847,1.55101,43.5771,41.2597,0.132811,0.140271,0.140271,227.0338,448.4739,227.0338,448.4739,675.5077
339,189.6025,17.4318,207.0343,0.243276,0.237526,0.243276,0.13543,0.0124513,0.13543,33.7532,3.10323,36.8564,0.768763,0.0690086,0.837772,43.9059,44.9688,0.243276,0.237526,0.243276,189.6025,17.4318,189.6025,17.4318,207.0343
341,37.2318,236.7737,274.0056,0.235775,0.243447,0.243447,0.0265942,0.169124,0.169124,6.56952,41.7785,48.3480,0.146306,0.960697,1.107,44.9026,43.4877,0.235775,0.243447,0.243447,37.2318,236.7737,37.2318,236.7737,274.0056
343,229.1570,423.2259,652.3828,0.154019,0.161472,0.161472,0.163684,0.302304,0.302304,25.6225,47.3217,72.9442,0.588242,1.13899,1.72723,43.5577,41.5472,0.154019,0.161472,0.161472,229.1570,423.2259,229.1570,423.2259,652.3828
345,208.5679,400.2824,608.8504,0.168051,0.175842,0.175842,0.148977,0.285916,0.285916,25.5529,49.0410,74.5939,0.584168,1.17311,1.75727,43.7424,41.8044,0.168051,0.175842,0.175842,208.5679,400.2824,208.5679,400.2824,608.8504
347,435.1811,170.0756,605.2567,0.0860137,0.0808305,0.0860137,0.310844,0.121483,0.310844,25.8350,10.0967,35.9317,0.623859,0.229121,0.85298,41.4116,44.0671,0.0860137,0.0808305,0.0860137,435.1811,170.0756,435.1811,170.0756,605.2567
349,163.3139,260.0101,423.3240,0.106138,0.10823,0.10823,0.116653,0.185722,0.185722,12.7465,20.2935,33.0400,0.288898,0.469015,0.757913,44.1211,43.2684,0.106138,0.10823,0.10823,163.3139,260.0101,163.3139,260.0101,423.3240
351,225.1114,114.9233,340.0347,0.0469173,0.0459865,0.0469173,0.160794,0.0820881,0.160794,7.67382,3.91762,11.5914,0.176027,0.088082,0.264109,43.5946,44.4770,0.0469173,0.0459865,0.0469173,225.1114,114.9233,225.1114,114.9233,340.0347
