Node_ID,Lon,Lat,Tract_Node
0,-87.8178229,41.9834316,0
1,-87.8214516,41.9842467,0
2,-87.8237652,41.9842745,0
3,-87.6688386,41.8374757,0
4,-87.6847725,41.8356359,0
5,-87.7237913,41.9500789,0
6,-87.7275751,41.9525114,0
7,-87.7674774,41.9677807,0
8,-87.7675159,41.9686809,0
9,-87.6885529,41.9941251,0
10,-87.689782,41.9941039,0
11,-87.6873143,41.9941465,0
12,-87.7699233,41.9677504,0
13,-87.7662607,41.9677997,0
14,-87.7672446,41.9604844,0
15,-87.7672699,41.9613932,0
16,-87.6875857,41.9648936,0
17,-87.6863624,41.9649124,0
18,-87.6887971,41.964875,0
19,-87.767214,41.9595714,0
20,-87.7684739,41.9604636,0
21,-87.6869344,41.9431135,0
22,-87.6880892,41.9431103,0
23,-87.6857192,41.9431285,0
24,-87.7647846,41.9605105,0
25,-87.7472149,41.9678938,0
26,-87.7472227,41.9665629,0
27,-87.7472941,41.9643839,0
28,-87.5471508,41.6555128,0
29,-87.5471391,41.657333,0
30,-87.547157,41.6536858,0
31,-87.7462868,41.9635938,0
32,-87.7354381,41.9566766,0
33,-87.744952,41.961594,0
34,-87.7421814,41.959961,0
35,-87.7470159,41.967415,0
36,-87.7474225,41.9756292,0
37,-87.6172656,41.6556109,0
38,-87.6172488,41.653632,0
39,-87.6172953,41.6591119,0
40,-87.7457764,41.9753639,0
41,-87.7164939,41.8841931,0
42,-87.716831,41.8848826,0
43,-87.7158467,41.8815442,0
44,-87.7469289,41.9778271,0
45,-87.6607753,41.6957717,0
46,-87.6601294,41.6967034,0
47,-87.6614056,41.6948574,0
48,-87.6850203,41.9632015,0
49,-87.6861053,41.9649164,0
50,-87.6838328,41.9613919,0
51,-87.6812695,41.6954256,0
52,-87.6812245,41.6939739,0
53,-87.6813061,41.696605,0
54,-87.6924093,41.9767698,0
55,-87.6925385,41.9776839,0
56,-87.6923525,41.9758766,0
57,-87.7356175,41.9567778,0
58,-87.7372399,41.9576798,0
59,-87.6930453,41.9819306,0
60,-87.6942794,41.9826302,0
61,-87.7008424,41.9864938,0
62,-87.7013665,41.9868012,0
63,-87.7009474,41.6952209,0
64,-87.7008825,41.6933922,0
65,-87.7009785,41.6960711,0
66,-87.7001235,41.9860639,0
67,-87.7186451,41.9972314,0
68,-87.71841,41.9972352,0
69,-87.7175198,41.9965716,0
70,-87.7204787,41.694857,0
71,-87.7204118,41.6932356,0
72,-87.7205163,41.6957699,0
73,-87.6482531,41.9711077,0
74,-87.6491887,41.9743624,0
75,-87.6280018,41.6961689,0
76,-87.6279795,41.6952585,0
77,-87.6280242,41.6970833,0
78,-87.6526347,41.9810106,0
79,-87.6493668,41.9738821,0
80,-87.6486102,41.9712176,0
81,-87.7383414,41.9585842,0
82,-87.7468795,41.9388397,0
83,-87.7468993,41.9397453,0
84,-87.6425479,41.6959992,0
85,-87.642492,41.6941799,0
86,-87.7468555,41.9379192,0
87,-87.6166939,41.8226306,0
88,-87.6169676,41.8226276,0
89,-87.6129046,41.8226797,0
90,-87.7456038,41.9388552,0
91,-87.6299267,41.9018639,0
92,-87.6299698,41.9031544,0
93,-87.6298839,41.9005804,0
94,-87.7493349,41.9388052,0
95,-87.7648956,41.9943649,0
96,-87.7645945,41.9951218,0
97,-87.7655761,41.9925316,0
98,-87.7473032,41.9534183,0
99,-87.747356,41.9552565,0
100,-87.6650401,41.6774943,0
101,-87.6652674,41.6774862,0
102,-87.81684,42.0021292,0
103,-87.8161557,42.0027868,0
104,-87.7472959,41.9524655,0
105,-87.8177183,42.0012566,0
106,-87.8209749,42.0043757,0
107,-87.8200472,42.0052496,0
108,-87.7005582,41.6842689,0
109,-87.7006052,41.6856233,0
110,-87.7455781,41.9534401,0
111,-87.7029886,41.6842318,0
112,-87.7006231,41.6861362,0
113,-87.7006391,41.6865923,0
114,-87.7006852,41.6879088,0
115,-87.7007165,41.6888032,0
116,-87.7498413,41.9533861,0
117,-87.7007493,41.6897417,0
118,-87.7008091,41.6915666,0
119,-87.6996033,41.6915835,0
120,-87.7020438,41.6915468,0
121,-87.7445461,41.9517233,0
122,-87.7010142,41.6970503,0
123,-87.7010825,41.6988776,0
124,-87.7492422,41.9545806,0
125,-87.7011464,41.7006474,0
126,-87.7011803,41.7016196,0
127,-87.7012121,41.7025327,0
128,-87.7012755,41.7043498,0
129,-87.7013328,41.7061843,0
130,-87.7390359,41.9586939,0
131,-87.741371,41.960451,0
132,-87.7001627,41.706198,0
133,-87.7021163,41.735261,0
134,-87.7020264,41.7355952,0
135,-87.7026034,41.7352511,0
136,-87.7020746,41.738017,0
137,-87.7020964,41.7388596,0
138,-87.7475124,41.9598213,0
139,-87.7474822,41.9589031,0
140,-87.7021199,41.7397664,0
141,-87.7021434,41.7406727,0
142,-87.7021673,41.741594,0
143,-87.7021946,41.7425102,0
144,-87.7009757,41.7425296,0
145,-87.702245,41.7443295,0
146,-87.7022963,41.7461646,0
147,-87.7475382,41.9607176,0
148,-87.7023441,41.7479831,0
149,-87.7023909,41.7497506,0
150,-87.7023939,41.7498632,0
151,-87.703472,41.7498522,0
152,-87.7024124,41.7504992,0
153,-87.7024457,41.7516272,0
154,-87.7475684,41.9617803,0
155,-87.7011996,41.7510358,0
156,-87.7025002,41.7534523,0
157,-87.7025547,41.7552769,0
158,-87.7026917,41.7607457,0
159,-87.7026922,41.7607708,0
160,-87.7474623,41.9639244,0
161,-87.7027507,41.762561,0
162,-87.7028081,41.7643868,0
163,-87.70282,41.7651579,0
164,-87.7015915,41.7644006,0
165,-87.7040459,41.764376,0
166,-87.7029623,41.7711036,0
167,-87.7483255,41.9972363,0
168,-87.7483319,41.9956316,0
169,-87.7029748,41.7716818,0
