"ID","Dir","Length","AB_Link_ID","AB_From_Node_","AB_To_Node_ID","AB_Capacity","AB_Length","AB_Free_Speed","AB_Lanes","AB_Link_Type","BA_DB_ID","BA_Link_ID","BA_From_Node_","BA_To_Node_ID","BA_Capacity","BA_Length","BA_Free_Speed","BA_Lanes","BA_Link_Type","AB_Free_Time","AB_UE_Time","BA_Free_Time","BA_UE_Time","direction","ID1","AB_Flow","BA_Flow","Tot_Flow","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF"
55,1,0.212447,64,41,28,1300,0.212447,30,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.424894,0.424913,,,1,55,17.2831,,17.2831,0.424913,,0.424913,0.0132947,,0.0132947,3.67175,,3.67175,0.122397,,0.122397,29.9987,,0.424913,,0.424913
56,0,0.0435547,65,42,43,1300,0.043555,30,1,5,57,66,43,42,1300,0.043555,30,1,5,0.08711,0.103022,0.08711,0.0873325,0,56,1111.2353,131.4000,1242.6353,0.103022,0.0873325,0.103022,0.854796,0.101077,0.854796,48.3999,5.72313,54.1230,1.90803,0.191258,2.09929,25.3663,29.9236,0.103022,0.0873325,0.103022
58,0,0.0173119,67,42,44,1300,0.017312,30,1,5,59,68,44,42,1300,0.017312,30,1,5,0.034624,0.0347124,0.034624,0.0409487,0,58,131.4000,1111.2353,1242.6353,0.0347124,0.0409487,0.0409487,0.101077,0.854796,0.854796,2.2748,19.2377,21.5125,0.0760202,0.758395,0.834415,29.9236,25.3663,0.0347124,0.0409487,0.0409487
60,1,0.152679,69,45,46,4000,0.152679,45,2,3,,-1,-1,-1,-1,,-1,-1,-1,0.203572,0.210961,,,1,60,1524.1447,,1524.1447,0.210961,,0.210961,0.381036,,0.381036,232.7049,,232.7049,5.35892,,5.35892,43.4238,,0.210961,,0.210961
61,0,0.15874,70,47,48,1300,0.15874,30,1,5,62,71,48,47,1300,0.15874,30,1,5,0.31748,0.317803,0.31748,0.319073,0,61,82.8766,184.1852,267.0618,0.317803,0.319073,0.319073,0.0637512,0.141681,0.141681,13.1558,29.2376,42.3934,0.438973,0.979476,1.41845,29.9695,29.8502,0.317803,0.319073,0.319073
63,0,0.160549,72,47,49,1300,0.160549,30,1,4,64,73,49,47,1300,0.160549,30,1,4,0.321098,0.361657,0.321098,0.323477,0,63,924.0524,223.8000,1147.8524,0.361657,0.323477,0.361657,0.71081,0.172154,0.71081,148.3557,35.9309,184.2866,5.56983,1.20657,6.7764,26.6356,29.7794,0.361657,0.323477,0.361657
65,0,0.0815877,74,47,50,1300,0.081588,30,1,4,66,75,50,47,1300,0.081588,30,1,4,0.163176,0.166847,0.163176,0.185708,0,65,390.0000,966.1437,1356.1437,0.166847,0.185708,0.185708,0.3,0.743187,0.743187,31.8193,78.8257,110.6451,1.08451,2.99034,4.07485,29.3399,26.3601,0.166847,0.185708,0.185708
67,0,0.0109218,76,51,52,1300,0.010922,30,1,5,68,77,52,51,1300,0.010922,30,1,5,0.021844,0.021844,0.021844,0.021844,0,67,0.0000,0.0000,0.0000,0.021844,0.021844,0.021844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,30.0000,0.021844,0.021844,0.021844
69,0,0.0263323,80,52,53,1300,0.026332,30,1,5,70,81,53,52,1300,0.026332,30,1,5,0.052664,0.0526641,0.052664,0.052664,0,69,3,1.2,4.2,0.0526641,0.052664,0.0526641,0.00230769,0.000923077,0.00230769,0.078996,0.0315984,0.110594,0.0026332,0.00105328,0.00368648,30.0000,30.0000,0.0526641,0.052664,0.0526641
71,0,0.0950092,82,52,54,1300,0.095009,30,1,5,72,83,54,52,1300,0.095009,30,1,5,0.190018,0.190018,0.190018,0.190018,0,71,1.2,3,4.2,0.190018,0.190018,0.190018,0.000923077,0.00230769,0.00230769,0.114011,0.285027,0.399038,0.00380036,0.00950091,0.0133013,30.0000,30.0000,0.190018,0.190018,0.190018
