Node_ID,Lon,Lat,Tract_Node
0,-112.0326826,33.4619887,0
1,-112.0306513,33.4619563,0
2,-112.0991562,33.387517,0
3,-112.0991416,33.3850299,0
4,-112.0991594,33.3886382,0
5,-112.1690639,33.6606763,0
6,-112.1690467,33.6599335,0
7,-112.169151,33.6633671,0
8,-112.172007,33.3411573,0
9,-112.1736739,33.3411618,0
10,-112.1707337,33.3411539,0
11,-112.1755241,33.3483415,0
12,-112.1726987,33.3483867,0
13,-112.174603,33.3411644,0
14,-112.1691824,33.3451897,0
15,-112.1691786,33.3411197,0
16,-112.169187,33.3483601,0
17,-112.132437,33.3630119,0
18,-112.1348064,33.362996,0
19,-112.1348179,33.3606847,0
20,-112.147699,33.372314,0
21,-112.1476826,33.375695,0
22,-112.1476751,33.3702759,0
23,-111.9624635,33.4727565,0
24,-111.9653402,33.4727731,0
25,-111.9609982,33.4727508,0
26,-112.1461452,33.363004,0
27,-112.1476515,33.3629944,0
28,-112.136588,33.3630003,0
29,-112.0348526,33.6976478,0
30,-112.0355993,33.6966248,0
31,-112.1490208,33.3702736,0
32,-112.1519405,33.3702852,0
33,-112.1491899,33.3629851,0
34,-112.1476888,33.3775711,0
35,-112.0833177,33.3747737,0
36,-112.0833144,33.3739677,0
37,-112.0833169,33.3754856,0
38,-112.0352597,33.7003793,0
39,-112.0646515,33.3832877,0
40,-112.0646532,33.3840834,0
41,-112.0646559,33.3822722,0
42,-112.0992658,33.3986102,0
43,-112.0992315,33.3966811,0
44,-112.0992932,33.3995272,0
45,-112.102314,33.399499,0
46,-112.1027464,33.3995029,0
47,-112.100769,33.3995146,0
48,-112.0661976,33.3995898,0
49,-112.064628,33.3995901,0
50,-112.0667994,33.3995925,0
51,-111.968363,33.4418246,0
52,-111.9687704,33.4451216,0
53,-112.048779,33.3734164,0
54,-112.0487815,33.3740916,0
55,-112.0487755,33.3722235,0
56,-112.04737,33.3776772,0
57,-111.9633107,33.4510217,0
58,-111.9622201,33.4510144,0
59,-112.0248755,33.3779601,0
60,-112.0254569,33.3779495,0
61,-112.0252349,33.3778064,0
62,-112.0246881,33.3778119,0
63,-111.9672323,33.4509224,0
64,-112.1598274,33.6134878,0
65,-112.1598236,33.6139035,0
66,-112.1598341,33.6127966,0
67,-112.0008589,33.3779864,0
68,-112.0007766,33.3779865,0
69,-112.000859,33.3781556,0
70,-112.0008582,33.3780962,0
71,-112.0024114,33.3781477,0
72,-112.0646194,33.401414,0
73,-112.0646153,33.4015983,0
