Node_ID,Lon,Lat,Tract_Node
0,-73.7946273,40.7864093,0
1,-73.7919309,40.7871587,0
2,-73.786423,40.7893046,0
3,-73.9679404,40.787235,0
4,-73.9683927,40.786605,0
5,-74.096306,40.574055,0
6,-74.0970313,40.5744581,0
7,-74.095574,40.573658,0
8,-74.135474,40.62528,0
9,-74.134731,40.625772,0
10,-74.13581,40.625064,0
11,-74.1320882,40.6227138,0
12,-74.131907,40.621654,0
13,-74.132074,40.6233912,0
14,-74.2173954,40.5511947,0
15,-74.215797,40.5525407,0
16,-74.110402,40.586656,0
17,-74.110561,40.58749,0
18,-74.1121809,40.5831801,0
19,-74.144783,40.637953,0
20,-74.145565,40.635459,0
21,-74.143293,40.638658,0
22,-74.1460354,40.637743,0
23,-74.1458279,40.6345719,0
24,-74.1464115,40.6327031,0
25,-74.146583,40.6321647,0
26,-74.1469273,40.6311584,0
27,-74.143981,40.6306001,0
28,-74.14738,40.629827,0
29,-74.1468329,40.6314255,0
30,-74.147536,40.629371,0
31,-74.1477034,40.6288182,0
32,-74.1479167,40.6281871,0
33,-74.1481187,40.6275364,0
34,-74.1481409,40.6274656,0
35,-74.1483435,40.6268156,0
36,-74.1485534,40.6261503,0
37,-74.148713,40.6253933,0
38,-74.1487738,40.6251115,0
39,-74.1509608,40.6253897,0
40,-74.1488619,40.6248364,0
41,-74.1466821,40.6249005,0
42,-74.086007,40.619094,0
43,-74.086041,40.61882,0
44,-74.084782,40.619001,0
45,-74.083899,40.618932,0
46,-74.084562,40.619808,0
47,-74.083676,40.618914,0
48,-74.081103,40.6177971,0
49,-74.08048,40.617295,0
50,-74.08174,40.617311,0
51,-74.0800158,40.6185662,0
52,-74.07988,40.616835,0
53,-74.0787475,40.6159323,0
54,-74.096336,40.640535,0
55,-74.096696,40.640494,0
56,-74.094753,40.64077,0
57,-74.1901104,40.5920382,0
58,-74.189429,40.592432,0
59,-74.1908223,40.5916094,0
60,-73.9565816,40.8182287,0
61,-73.957044,40.8176025,0
62,-74.0775741,40.6036819,0
63,-74.0770148,40.6036351,0
64,-74.076755,40.6021033,0
65,-74.0764815,40.6010355,0
66,-74.0767688,40.6005277,0
67,-74.076368,40.6009837,0
68,-74.0792175,40.6013846,0
69,-74.0771387,40.5998494,0
70,-74.0785176,40.5984362,0
71,-74.0783683,40.5985427,0
72,-74.0774588,40.5984352,0
73,-74.088217,40.61184,0
74,-74.088333,40.611672,0
75,-74.086342,40.610726,0
76,-74.085262,40.61208,0
77,-74.188598,40.533361,0
78,-74.189471,40.5330965,0
79,-74.1874549,40.5337238,0
80,-74.0837533,40.6069563,0
81,-74.0864608,40.6075495,0
82,-74.0851103,40.6074763,0
83,-74.1626752,40.5943327,0
84,-74.1623906,40.5946334,0
85,-74.1635483,40.5933421,0
86,-74.1954463,40.5391725,0
87,-74.1950897,40.5385105,0
88,-74.1957798,40.5398348,0
89,-74.204995,40.536497,0
90,-74.204681,40.535836,0
91,-74.205318,40.537171,0
92,-73.9551864,40.8201617,0
93,-73.9549695,40.8200718,0
94,-74.2182676,40.5345135,0
95,-74.2182933,40.5347483,0
96,-74.2180328,40.5322485,0
97,-74.238172,40.512982,0
98,-74.238799,40.512524,0
99,-74.237454,40.5134782,0
100,-74.160402,40.609807,0
101,-74.1606613,40.6092797,0
102,-74.159945,40.6106807,0
103,-74.130993,40.627374,0
104,-74.130692,40.628337,0
105,-74.13131,40.626328,0
106,-74.086677,40.641909,0
107,-74.086524,40.642564,0
108,-74.086828,40.641338,0
109,-74.094276,40.596449,0
110,-74.094903,40.596296,0
111,-73.9561236,40.8188507,0
112,-74.093755,40.596745,0
113,-74.2179391,40.5370851,0
114,-74.2178811,40.5373628,0
115,-74.218282,40.535487,0
116,-74.084974,40.624633,0
117,-74.0852477,40.6228209,0
118,-74.092683,40.605912,0
119,-74.092586,40.605141,0
120,-74.0909295,40.6062044,0
121,-74.089443,40.607691,0
122,-74.1136956,40.5664573,0
123,-74.1138442,40.5665407,0
124,-74.1125424,40.5675849,0
125,-74.11014,40.564311,0
126,-74.108894,40.565886,0
127,-74.109362,40.563909,0
128,-74.11149,40.562547,0
129,-74.108616,40.563528,0
130,-74.107869,40.563146,0
131,-74.107104,40.562771,0
132,-74.106907,40.562668,0
133,-74.106172,40.562296,0
134,-74.104845,40.561596,0
135,-74.105576,40.56199,0
136,-74.104132,40.561173,0
137,-74.101524,40.560144,0
138,-74.1915479,40.5911786,0
139,-74.1794595,40.6119398,0
140,-74.1692125,40.6205422,0
141,-74.1887477,40.6116097,0
142,-74.1887423,40.6115151,0
143,-74.1881399,40.6131517,0
144,-74.2147429,40.5413951,0
145,-74.2149864,40.5413714,0
146,-74.2142624,40.5414056,0
147,-73.9574917,40.82116,0
148,-74.23601,40.514203,0
149,-74.236668,40.513875,0
150,-74.235638,40.514388,0
151,-74.119377,40.559984,0
152,-74.11864,40.559542,0
153,-74.1199809,40.5603524,0
154,-74.155133,40.56213,0
