Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
170,133,136,950,59.21,20.0,1,5
171,136,133,950,59.21,20.0,1,5
172,137,138,950,77.37,20.0,1,5
173,138,137,950,77.37,20.0,1,5
176,135,139,950,90.51,20.0,1,5
177,139,135,950,90.51,20.0,1,5
178,132,140,950,10.67,20.0,1,5
179,140,132,950,10.67,20.0,1,5
180,132,141,5400,1066.03,40.0,2,3
183,137,142,950,95.81,20.0,1,5
184,142,137,950,95.81,20.0,1,5
185,140,143,950,225.85,20.0,1,5
186,143,140,950,225.85,20.0,1,5
187,140,144,5400,161.16,40.0,2,3
188,145,146,5400,201.47,40.0,2,3
189,147,148,5400,171.48,40.0,2,3
190,149,150,5400,170.94,40.0,2,3
191,151,152,950,16.78,20.0,1,5
192,151,153,5400,281.84,40.0,2,3
193,154,155,950,57.8,20.0,1,5
194,155,154,950,57.8,20.0,1,5
195,154,156,950,35.75,20.0,1,5
196,156,154,950,35.75,20.0,1,5
197,157,158,950,33.66,20.0,1,5
198,158,157,950,33.66,20.0,1,5
199,157,159,950,120.31,20.0,1,5
200,159,157,950,120.31,20.0,1,5
201,157,160,950,33.69,20.0,1,5
202,160,157,950,33.69,20.0,1,5
203,161,162,950,205.66,20.0,1,5
204,162,161,950,205.66,20.0,1,5
205,161,163,950,116.13,20.0,1,5
206,163,161,950,116.13,20.0,1,5
209,160,164,950,79.32,20.0,1,5
210,164,160,950,79.32,20.0,1,5
211,165,166,950,134.71,20.0,1,5
212,166,165,950,134.71,20.0,1,5
213,165,167,950,54.35,20.0,1,5
214,167,165,950,54.35,20.0,1,5
215,168,169,950,24.33,20.0,1,5
216,169,168,950,24.33,20.0,1,5
217,168,170,950,58.77,20.0,1,5
218,170,168,950,58.77,20.0,1,5
219,171,172,950,141.48,20.0,1,5
220,173,174,950,38.94,20.0,1,5
221,174,173,950,38.94,20.0,1,5
222,173,175,950,54.26,20.0,1,5
223,175,173,950,54.26,20.0,1,5
224,176,177,950,64.25,20.0,1,5
225,177,176,950,64.25,20.0,1,5
226,176,174,950,93.39,20.0,1,5
227,174,176,950,93.39,20.0,1,5
228,178,179,950,285.72,20.0,1,5
229,179,178,950,285.72,20.0,1,5
230,178,180,950,79.93,20.0,1,5
231,180,178,950,79.93,20.0,1,5
232,175,181,950,216.98,20.0,1,5
233,181,175,950,216.98,20.0,1,5
236,182,183,950,76.77,20.0,1,5
237,183,182,950,76.77,20.0,1,5
238,182,184,950,94.66,20.0,1,5
239,184,182,950,94.66,20.0,1,5
240,185,186,950,83.77,20.0,1,5
241,186,185,950,83.77,20.0,1,5
242,185,187,950,114.3,20.0,1,5
243,187,185,950,114.3,20.0,1,5
244,188,189,950,40.31,20.0,1,5
245,189,188,950,40.31,20.0,1,5
246,188,190,950,20.32,20.0,1,5
247,191,192,950,40.26,20.0,1,5
248,192,191,950,40.26,20.0,1,5
249,191,193,950,61.24,20.0,1,5
250,193,191,950,61.24,20.0,1,5
251,194,195,950,87.48,20.0,1,5
252,195,194,950,87.48,20.0,1,5
253,194,196,950,131.63,20.0,1,5
254,196,194,950,131.63,20.0,1,5
255,197,198,950,39.96,20.0,1,5
258,195,199,950,59.36,20.0,1,5
259,199,195,950,59.36,20.0,1,5
260,200,184,950,83.11,20.0,1,5
261,184,200,950,83.11,20.0,1,5
262,200,201,950,86.63,20.0,1,5
263,201,200,950,86.63,20.0,1,5
268,202,203,950,67.46,20.0,1,5
269,203,202,950,67.46,20.0,1,5
