ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
54,372.6,3041.0745,3413.6745,0.825381,0.929526,0.929526,0.09315,0.760269,0.760269,254.832,2079.8791,2334.7111,5.12562,47.1126,52.2382,49.7173,44.147,0.825381,0.929526,0.929526
56,0.0,0.0,0.0,0.0836434,0.0836434,0.0836434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0836434,0.0836434,0.0836434
58,385.8,0.0,385.8,0.0807549,0.0,0.0807549,0.09645,0.0,0.09645,25.8081,0.0,25.8081,0.519254,0.0,0.519254,49.7022,0.0,0.0807549,0.0,0.0807549
59,0.0,40.8,40.8,0.241899,0.24214,0.24214,0.0,0.0291429,0.0291429,0.0,5.75721,5.75721,0.0,0.164655,0.164655,35.0,34.9652,0.241899,0.24214,0.24214
61,40.8,0.0,40.8,0.244282,0.244039,0.244282,0.0291429,0.0,0.0291429,5.80812,0.0,5.80812,0.166112,0.0,0.166112,34.9652,35.0,0.244282,0.244039,0.244282
63,0.0,0.0,0.0,0.241749,0.0,0.241749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.241749,0.0,0.241749
64,187.2,0.0,187.2,0.238308,0.0,0.238308,0.133714,0.0,0.133714,25.7713,0.0,25.7713,0.743522,0.0,0.743522,34.661,0.0,0.238308,0.0,0.238308
65,0.0,43.8,43.8,0.183578,0.183781,0.183781,0.0,0.0312857,0.0312857,0.0,4.69041,4.69041,0.0,0.13416,0.13416,35.0,34.9613,0.183578,0.183781,0.183781
67,16.2,50.4,66.6,0.144022,0.144183,0.144183,0.0115714,0.036,0.036,1.36067,4.2332,5.59387,0.038886,0.121114,0.16,34.9913,34.9523,0.144022,0.144183,0.144183
69,50.4,16.2,66.6,0.353242,0.352848,0.353242,0.036,0.0115714,0.036,10.3712,3.33359,13.7047,0.296724,0.0952691,0.391993,34.9523,34.9913,0.353242,0.352848,0.353242
71,93.0,35.1719,128.1719,0.0465818,0.0464598,0.0465818,0.0664286,0.0251228,0.0664286,2.51844,0.952455,3.4709,0.0722018,0.0272347,0.0994365,34.8806,34.9721,0.0465818,0.0464598,0.0465818
73,35.1719,93.0,128.1719,0.0331138,0.0332007,0.0332007,0.0251228,0.0664286,0.0664286,0.678853,1.79499,2.47385,0.0194112,0.0514611,0.0708724,34.9721,34.8806,0.0331138,0.0332007,0.0332007
75,33.0,0.0,33.0,0.20172,0.201574,0.20172,0.0235714,0.0,0.0235714,3.88031,0.0,3.88031,0.110946,0.0,0.110946,34.9747,35.0,0.20172,0.201574,0.20172
77,18.6,0.0,18.6,0.109612,0.0,0.109612,0.0132857,0.0,0.0132857,1.18893,0.0,1.18893,0.0339798,0.0,0.0339798,34.9893,0.0,0.109612,0.0,0.109612
78,0.0,33.0,33.0,0.25717,0.257356,0.257356,0.0,0.0235714,0.0235714,0.0,4.95053,4.95053,0.0,0.141546,0.141546,35.0,34.9747,0.25717,0.257356,0.257356
80,0.0,0.0,0.0,0.11904,0.0,0.11904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.11904,0.0,0.11904
81,0.0,0.0,0.0,0.371625,0.371625,0.371625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.371625,0.371625,0.371625
83,744.6,66.6,811.2,0.298717,0.277787,0.298717,0.531857,0.0475714,0.531857,120.407,10.7697,131.1767,3.70707,0.308344,4.01542,32.4803,34.9275,0.298717,0.277787,0.298717
85,0.0,0.0,0.0,0.0624994,0.0624994,0.0624994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0624994,0.0624994,0.0624994
87,0.0,0.0,0.0,0.0538449,0.0,0.0538449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0538449,0.0,0.0538449
88,0.0,0.0,0.0,0.0989366,0.0989366,0.0989366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0989366,0.0989366,0.0989366
90,680.4,0.0,680.4,0.133842,0.0,0.133842,0.103091,0.0,0.103091,105.545,0.0,105.545,1.51777,0.0,1.51777,69.5396,0.0,0.133842,0.0,0.133842
91,9.0,0.0,9.0,0.314492,0.0,0.314492,0.00136364,0.0,0.00136364,3.30214,0.0,3.30214,0.0471738,0.0,0.0471738,69.9993,0.0,0.314492,0.0,0.314492
92,0.0,0.0,0.0,0.159327,0.159327,0.159327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.159327,0.159327,0.159327
94,0.0,0.0,0.0,0.761919,0.761919,0.761919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.761919,0.761919,0.761919
96,25.8,16.8,42.6,0.415708,0.415609,0.415708,0.0184286,0.012,0.0184286,6.25328,4.0719,10.3252,0.178754,0.116371,0.295125,34.9825,34.9908,0.415708,0.415609,0.415708
98,16.8,25.8,42.6,0.182983,0.183026,0.183026,0.012,0.0184286,0.0184286,1.79276,2.75317,4.54593,0.0512352,0.0787013,0.129937,34.9908,34.9825,0.182983,0.183026,0.183026
100,48.6,423.6,472.2,0.134368,0.138661,0.138661,0.0347143,0.302571,0.302571,3.80441,33.1594,36.9638,0.108838,0.978948,1.08779,34.9548,33.8725,0.134368,0.138661,0.138661
102,354.0,206.8657,560.8657,0.219269,0.216261,0.219269,0.252857,0.147761,0.252857,44.1562,25.8034,69.9596,1.29369,0.745615,2.0393,34.132,34.6069,0.219269,0.216261,0.219269
104,430.0657,354.0,784.0657,0.222568,0.220712,0.222568,0.30719,0.252857,0.30719,53.9973,44.4468,98.4442,1.59532,1.3022,2.89752,33.8474,34.132,0.222568,0.220712,0.222568
106,15.0,0.0,15.0,0.215928,0.0,0.215928,0.0107143,0.0,0.0107143,1.88895,0.0,1.88895,0.053982,0.0,0.053982,34.9922,0.0,0.215928,0.0,0.215928
107,798.706,0.0,798.706,0.181844,0.0,0.181844,0.570504,0.0,0.570504,78.0008,0.0,78.0008,2.42066,0.0,2.42066,32.223,0.0,0.181844,0.0,0.181844
108,423.6,48.6,472.2,0.0300385,0.0291085,0.0300385,0.302571,0.0347143,0.302571,7.18341,0.824159,8.00757,0.212072,0.0235779,0.23565,33.8725,34.9548,0.0300385,0.0291085,0.0300385
110,123.8328,0.0,123.8328,0.16152,0.0,0.16152,0.088452,0.0,0.088452,11.6065,0.0,11.6065,0.333358,0.0,0.333358,34.8168,0.0,0.16152,0.0,0.16152
111,199.8895,32.4,232.2895,0.0795886,0.0794228,0.0795886,0.0499724,0.0081,0.0499724,13.2279,2.1441,15.372,0.265149,0.0428883,0.308037,49.8885,49.9927,0.0795886,0.0794228,0.0795886
113,32.4,199.8895,232.2895,0.0812771,0.0814468,0.0814468,0.0081,0.0499724,0.0499724,2.19416,13.5367,15.7309,0.0438896,0.271339,0.315229,49.9927,49.8885,0.0812771,0.0814468,0.0814468
115,1.2,5.4,6.6,0.0597329,0.0597354,0.0597354,0.000857143,0.00385714,0.00385714,0.0418128,0.188158,0.22997,0.00119466,0.00537619,0.00657085,34.9998,34.9983,0.0597329,0.0597354,0.0597354
117,1.8,6.6,8.4,0.17006,0.17007,0.17007,0.00128571,0.00471429,0.00471429,0.178562,0.654727,0.833288,0.00510181,0.0187077,0.0238095,34.9997,34.9977,0.17006,0.17007,0.17007
119,6.6,1.8,8.4,0.0698479,0.0698441,0.0698479,0.00471429,0.00128571,0.00471429,0.268897,0.0733356,0.342233,0.00768327,0.00209532,0.0097786,34.9977,34.9997,0.0698479,0.0698441,0.0698479
121,5.4,1.2,6.6,0.135022,0.135016,0.135022,0.00385714,0.000857143,0.00385714,0.425299,0.0945108,0.519809,0.012152,0.00270032,0.0148523,34.9983,34.9998,0.135022,0.135016,0.135022
123,0.6,9.6,10.2,0.123141,0.123155,0.123155,0.000428571,0.00685714,0.00685714,0.0430992,0.689587,0.732686,0.00123141,0.0197047,0.0209361,34.9999,34.996,0.123141,0.123155,0.123155
125,9.6,0.6,10.2,0.350231,0.350191,0.350231,0.00685714,0.000428571,0.00685714,1.96107,0.122567,2.08364,0.0560369,0.00350191,0.0595388,34.996,34.9999,0.350231,0.350191,0.350231
127,59.9729,36.0,95.9729,0.132445,0.13232,0.132445,0.0428378,0.0257143,0.0428378,4.62529,2.77643,7.40172,0.132386,0.0793919,0.211777,34.938,34.9712,0.132445,0.13232,0.132445
129,36.0,59.9729,95.9729,0.128688,0.12881,0.12881,0.0257143,0.0428378,0.0428378,2.70022,4.49833,7.19854,0.0772127,0.128752,0.205964,34.9712,34.938,0.128688,0.12881,0.12881
131,36.0,6.6,42.6,0.273361,0.273153,0.273361,0.0257143,0.00471429,0.0257143,5.73584,1.05157,6.78742,0.164016,0.0300468,0.194063,34.9712,34.9977,0.273361,0.273153,0.273361
133,24.0,0.0,24.0,0.0609822,0.0,0.0609822,0.0171429,0.0,0.0171429,0.853368,0.0,0.853368,0.0243929,0.0,0.0243929,34.9843,0.0,0.0609822,0.0,0.0609822
134,0.0,0.0,0.0,0.190006,0.190006,0.190006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.190006,0.190006,0.190006
136,0.0,0.0,0.0,0.0865423,0.0865423,0.0865423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0865423,0.0865423,0.0865423
138,0.0,0.0,0.0,0.107246,0.107246,0.107246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.107246,0.107246,0.107246
140,3.6,0.0,3.6,0.140724,0.140721,0.140724,0.00257143,0.0,0.00257143,0.295513,0.0,0.295513,0.00844345,0.0,0.00844345,34.9991,35.0,0.140724,0.140721,0.140724
142,3.6,0.0,3.6,0.226665,0.226659,0.226665,0.00257143,0.0,0.00257143,0.475985,0.0,0.475985,0.0135999,0.0,0.0135999,34.9991,35.0,0.226665,0.226659,0.226665
144,3.6,10.2,13.8,0.197385,0.197404,0.197404,0.00257143,0.00728571,0.00728571,0.414497,1.17441,1.5889,0.0118431,0.0335587,0.0454017,34.9991,34.9956,0.197385,0.197404,0.197404
146,818.4927,1085.4,1903.8927,0.0478572,0.0557519,0.0557519,0.124014,0.109636,0.124014,45.3036,60.0769,105.3805,0.652847,1.00855,1.6614,69.3939,59.5675,0.0478572,0.0557519,0.0557519
148,673.2,0.0,673.2,0.624081,0.585063,0.624081,0.480857,0.0,0.480857,229.7544,0.0,229.7544,7.00219,0.0,7.00219,32.8118,35.0,0.624081,0.585063,0.624081
150,415.8,828.6927,1244.4927,0.227121,0.265418,0.265418,0.063,0.0837063,0.0837063,109.829,218.89,328.719,1.57395,3.66584,5.23979,69.7793,59.7108,0.227121,0.265418,0.265418
152,10.2,3.6,13.8,0.470116,0.470069,0.470116,0.00728571,0.00257143,0.00728571,2.79684,0.98712,3.78396,0.0799197,0.0282042,0.108124,34.9956,34.9991,0.470116,0.470069,0.470116
154,40.2,27.6,67.8,0.183734,0.183657,0.183734,0.0287143,0.0197143,0.0287143,4.30437,2.95524,7.25962,0.123102,0.0844822,0.207584,34.966,34.9806,0.183734,0.183657,0.183734
156,27.6,40.2,67.8,0.293044,0.293167,0.293167,0.0197143,0.0287143,0.0287143,4.7154,6.86809,11.5835,0.1348,0.196422,0.331223,34.9806,34.966,0.293044,0.293167,0.293167
158,239.4211,295.8,535.2211,0.116755,0.117362,0.117362,0.171015,0.211286,0.211286,16.0788,19.865,35.9438,0.465892,0.578597,1.04449,34.5119,34.3331,0.116755,0.117362,0.117362
160,4.2,31.2,35.4,0.196614,0.196739,0.196739,0.003,0.0222857,0.0222857,0.48169,3.57827,4.05996,0.013763,0.102304,0.116067,34.9988,34.9767,0.196614,0.196739,0.196739
162,31.2,4.2,35.4,0.0495226,0.0494913,0.0495226,0.0222857,0.003,0.0222857,0.900713,0.12125,1.02196,0.0257518,0.00346439,0.0292162,34.9767,34.9988,0.0495226,0.0494913,0.0495226
164,227.4,154.8,382.2,0.0274156,0.0319565,0.0319565,0.0344545,0.0156364,0.0344545,7.26407,4.94493,12.209,0.103905,0.0824477,0.186353,69.9106,59.9765,0.0274156,0.0319565,0.0319565
166,97.2,0.0,97.2,0.502191,0.0,0.502191,0.0147273,0.0,0.0147273,56.9281,0.0,56.9281,0.813549,0.0,0.813549,69.975,0.0,0.502191,0.0,0.502191
167,57.6,227.4,285.0,0.0473537,0.0552755,0.0552755,0.00872727,0.0229697,0.0229697,3.18165,12.5609,15.7425,0.0454596,0.209494,0.254954,69.9886,59.9583,0.0473537,0.0552755,0.0552755
169,0.6,0.6,1.2,0.208439,0.208439,0.208439,0.000428571,0.000428571,0.000428571,0.0729534,0.0729534,0.145907,0.00208439,0.00208439,0.00416877,34.9999,34.9999,0.208439,0.208439,0.208439
171,0.6,0.6,1.2,0.544486,0.544486,0.544486,0.000428571,0.000428571,0.000428571,0.19057,0.19057,0.381139,0.00544486,0.00544486,0.0108897,34.9999,34.9999,0.544486,0.544486,0.544486
173,109.2,941.1582,1050.3582,0.347596,0.384241,0.384241,0.078,0.672256,0.672256,22.0458,190.0057,212.0516,0.632625,6.02719,6.65981,34.8482,31.5248,0.347596,0.384241,0.384241
175,932.7582,109.2,1041.9582,0.206031,0.18663,0.206031,0.666256,0.078,0.666256,101.1063,11.8367,112.9431,3.20295,0.339666,3.54261,31.5666,34.8482,0.206031,0.18663,0.206031
177,407.3906,1503.1813,1910.5719,0.0591918,0.0696607,0.0696607,0.0617259,0.151836,0.151836,28.0472,103.488,131.5352,0.401903,1.74521,2.14711,69.786,59.2983,0.0591918,0.0696607,0.0696607
179,1503.1813,407.3906,1910.5719,0.136516,0.15614,0.15614,0.227755,0.0411506,0.227755,234.3159,63.5041,297.82,3.42014,1.06017,4.4803,68.5107,59.9,0.136516,0.15614,0.15614
181,0.0,0.0,0.0,0.0642634,0.0,0.0642634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0642634,0.0,0.0642634
182,0.0,0.0,0.0,0.045372,0.0,0.045372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.045372,0.0,0.045372
183,0.0,0.0,0.0,0.0210823,0.0,0.0210823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0210823,0.0,0.0210823
184,0.0,0.828088,0.828088,0.137515,0.137515,0.137515,0.0,0.000591492,0.000591492,0.0,0.0664268,0.0664268,0.0,0.00189791,0.00189791,35.0,34.9999,0.137515,0.137515,0.137515
186,0.828088,0.0,0.828088,0.0228618,0.0,0.0228618,0.000591492,0.0,0.000591492,0.0110434,0.0,0.0110434,0.000315526,0.0,0.000315526,34.9999,0.0,0.0228618,0.0,0.0228618
