ID1,AB_Flow_PCE,BA_Flow_PCE,Tot_Flow_PCE,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF,AB_Flow_OD_Number,BA_Flow_OD_Number,AB_Flow,BA_Flow,Tot_Flow
49,1317.7997,1000.4277,2318.2274,0.218707,0.195497,0.218707,0.941285,0.714591,0.941285,131.9091,100.1408,232.0499,4.80353,3.25967,8.0632,27.4609,30.7212,0.218707,0.195497,0.218707,1317.7997,1000.4277,1317.7997,1000.4277,2318.2274
51,0.0,0.0,0.0,0.10041,0.10041,0.10041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.10041,0.10041,0.10041,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.187128,0.187128,0.187128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.187128,0.187128,0.187128,0.0,0.0,0.0,0.0,0.0
55,557.6764,264.1245,821.8009,0.178219,0.164804,0.178219,0.39834,0.18866,0.39834,58.86,27.877,86.737,1.65647,0.72548,2.38195,35.5333,38.4256,0.178219,0.164804,0.178219,557.6764,264.1245,557.6764,264.1245,821.8009
57,264.1245,557.6764,821.8009,0.168681,0.182411,0.182411,0.18866,0.39834,0.39834,28.5328,60.2447,88.7775,0.742547,1.69544,2.43799,38.4256,35.5333,0.168681,0.182411,0.182411,264.1245,557.6764,264.1245,557.6764,821.8009
59,1254.5139,1309.7565,2564.2704,0.150353,0.153343,0.153343,0.896081,0.93554,0.93554,88.2977,92.1859,180.4836,3.14367,3.34737,6.49104,28.0875,27.5398,0.150353,0.153343,0.153343,1254.5139,1309.7565,1254.5139,1309.7565,2564.2704
61,0.0581624,0.0,0.0581624,0.0615135,0.0615135,0.0615135,4.15445e-05,0.0,4.15445e-05,0.00238518,0.0,0.00238518,5.96295e-05,0.0,5.96295e-05,40.0,40.0,0.0615135,0.0615135,0.0615135,0.0581624,0.0,0.0581624,0.0,0.0581624
63,0.0,0.0581624,0.0581624,0.226724,0.226724,0.226724,0.0,4.15445e-05,4.15445e-05,0.0,0.00879118,0.00879118,0.0,0.00021978,0.00021978,40.0,40.0,0.226724,0.226724,0.226724,0.0,0.0581624,0.0,0.0581624,0.0581624
65,0.0,0.0,0.0,0.111462,0.0,0.111462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.111462,0.0,0.111462,0.0,0.0,0.0,0.0,0.0
66,1309.7565,1254.5139,2564.2704,0.157587,0.154514,0.157587,0.93554,0.896081,0.93554,94.7373,90.7415,185.4788,3.44001,3.23067,6.67069,27.5398,28.0875,0.157587,0.154514,0.157587,1309.7565,1254.5139,1309.7565,1254.5139,2564.2704
68,7.2,0.6,7.8,0.101795,0.101777,0.101795,0.00514286,0.000428571,0.00514286,0.488527,0.0407106,0.529238,0.0122154,0.00101777,0.0132332,39.9926,39.9998,0.101795,0.101777,0.101795,7.2,0.6,7.2,0.6,7.8
70,0.6,7.2,7.8,0.108762,0.108782,0.108782,0.000428571,0.00514286,0.00514286,0.0435048,0.522058,0.565562,0.00108762,0.0130538,0.0141415,39.9998,39.9926,0.108762,0.108782,0.108782,0.6,7.2,0.6,7.2,7.8
72,1254.5139,0.0,1254.5139,0.0982132,0.0,0.0982132,0.896081,0.0,0.896081,57.6775,0.0,57.6775,2.0535,0.0,2.0535,28.0875,0.0,0.0982132,0.0,0.0982132,1254.5139,0.0,1254.5139,0.0,1254.5139
73,0.0,0.0,0.0,0.110165,0.110165,0.110165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.110165,0.110165,0.110165,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.662809,0.662809,0.662809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.662809,0.662809,0.662809,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.241827,0.241827,0.241827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.241827,0.241827,0.241827,0.0,0.0,0.0,0.0,0.0
79,327.1201,0.0,327.1201,0.136621,0.0,0.136621,0.233657,0.0,0.233657,28.2017,0.0,28.2017,0.744858,0.0,0.744858,37.8618,0.0,0.136621,0.0,0.136621,327.1201,0.0,327.1201,0.0,327.1201
