ID1,AB_Flow_PCE,BA_Flow_PCE,Tot_Flow_PCE,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF,AB_Flow_OD_Number,BA_Flow_OD_Number,AB_Flow,BA_Flow,Tot_Flow
42,0.0,0.0,0.0,0.119583,0.119583,0.119583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.119583,0.119583,0.119583,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.188649,0.188649,0.188649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.188649,0.188649,0.188649,0.0,0.0,0.0,0.0,0.0
46,1154.4,0.0,1154.4,0.187163,0.0,0.187163,0.888,0.0,0.888,88.8576,0.0,88.8576,3.60101,0.0,3.60101,24.6757,0.0,0.187163,0.0,0.187163,1154.4,0.0,1154.4,0.0,1154.4
47,0.0,0.0,0.0,0.370039,0.370039,0.370039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.370039,0.370039,0.370039,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.127767,0.127767,0.127767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.127767,0.127767,0.127767,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.126838,0.126838,0.126838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.126838,0.126838,0.126838,0.0,0.0,0.0,0.0,0.0
53,258.6,0.0,258.6,0.201551,0.0,0.201551,0.0718333,0.0,0.0718333,51.6241,0.0,51.6241,0.868683,0.0,0.868683,59.4279,0.0,0.201551,0.0,0.201551,258.6,0.0,258.6,0.0,258.6
54,536.1189,1369.2,1905.3189,0.0244874,0.0333107,0.0333107,0.412399,1.05323,1.05323,6.7626,17.2711,24.0337,0.218803,0.76015,0.978953,30.9073,22.7206,0.0244874,0.0333107,0.0333107,536.1189,1369.2,536.1189,1369.2,1905.3189
56,81.0,10.566,91.566,0.341818,0.339304,0.341818,0.0623077,0.00812771,0.0623077,16.0263,2.09054,18.1168,0.461454,0.0597516,0.521205,34.7299,34.9872,0.341818,0.339304,0.341818,81.0,10.566,81.0,10.566,91.566
58,10.566,81.0,91.566,0.347303,0.349875,0.349875,0.00812771,0.0623077,0.0623077,2.13982,16.404,18.5439,0.0611601,0.472332,0.533492,34.9872,34.7299,0.347303,0.349875,0.349875,10.566,81.0,10.566,81.0,91.566
60,571.7958,0.0,571.7958,0.385358,0.0,0.385358,0.439843,0.0,0.439843,112.1743,0.0,112.1743,3.67244,0.0,3.67244,30.5449,0.0,0.385358,0.0,0.385358,571.7958,0.0,571.7958,0.0,571.7958
61,873.6,927.1185,1800.7185,0.429444,0.438095,0.438095,0.672,0.713168,0.713168,171.5838,182.0953,353.6791,6.2527,6.76943,13.0221,27.4416,26.8996,0.429444,0.438095,0.438095,873.6,927.1185,873.6,927.1185,1800.7185
63,8.4,319.8,328.2,0.690534,0.732471,0.732471,0.00646154,0.246,0.246,3.38274,128.7857,132.1684,0.0966748,3.90407,4.00074,34.9909,32.9876,0.690534,0.732471,0.732471,8.4,319.8,8.4,319.8,328.2
65,145.2,48.6,193.8,0.10122,0.0997243,0.10122,0.111692,0.0373846,0.111692,8.41623,2.817,11.2332,0.244952,0.0807767,0.325728,34.3587,34.874,0.10122,0.0997243,0.10122,145.2,48.6,145.2,48.6,193.8
67,48.6,145.2,193.8,0.344795,0.349965,0.349965,0.0373846,0.111692,0.111692,9.73973,29.099,38.8387,0.279284,0.846916,1.1262,34.874,34.3587,0.344795,0.349965,0.349965,48.6,145.2,48.6,145.2,193.8
69,0.0,0.0,0.0,0.028568,0.0,0.028568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.028568,0.0,0.028568,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.19997,0.0,0.19997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.19997,0.0,0.19997,0.0,0.0,0.0,0.0,0.0
71,155.9931,0.0,155.9931,0.226846,0.0,0.226846,0.0259988,0.0,0.0259988,52.9685,0.0,52.9685,0.589773,0.0,0.589773,89.8117,0.0,0.226846,0.0,0.226846,155.9931,0.0,155.9931,0.0,155.9931
72,0.0,0.0,0.0,0.089823,0.089823,0.089823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.089823,0.089823,0.089823,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.107698,0.107698,0.107698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.107698,0.107698,0.107698,0.0,0.0,0.0,0.0,0.0
76,4725.8809,0.0,4725.8809,0.377507,0.0,0.377507,0.787647,0.0,0.787647,1982.9937,0.0,1982.9937,29.7342,0.0,29.7342,66.6906,0.0,0.377507,0.0,0.377507,4725.8809,0.0,4725.8809,0.0,4725.8809
77,609.6,0.0,609.6,0.0189593,0.0,0.0189593,0.169333,0.0,0.169333,11.1685,0.0,11.1685,0.192627,0.0,0.192627,57.98,0.0,0.0189593,0.0,0.0189593,609.6,0.0,609.6,0.0,609.6
78,12.0,0.0,12.0,0.196615,0.0,0.196615,0.002,0.0,0.002,3.53891,0.0,3.53891,0.039323,0.0,0.039323,89.996,0.0,0.196615,0.0,0.196615,12.0,0.0,12.0,0.0,12.0
79,3633.1876,0.0,3633.1876,0.507888,0.0,0.507888,0.605531,0.0,0.605531,2240.1073,0.0,2240.1073,30.7542,0.0,30.7542,72.8391,0.0,0.507888,0.0,0.507888,3633.1876,0.0,3633.1876,0.0,3633.1876
80,58.8,0.0,58.8,0.163489,0.0,0.163489,0.0452308,0.0,0.0452308,5.58083,0.0,5.58083,0.160219,0.0,0.160219,34.8325,0.0,0.163489,0.0,0.163489,58.8,0.0,58.8,0.0,58.8
81,44.4,175.7468,220.1468,0.173701,0.177458,0.177458,0.0341538,0.13519,0.13519,4.48471,17.7517,22.2364,0.128539,0.519795,0.648334,34.8899,34.1512,0.173701,0.177458,0.177458,44.4,175.7468,44.4,175.7468,220.1468
83,175.7468,44.4,220.1468,0.1749,0.171197,0.1749,0.13519,0.0341538,0.13519,17.4958,4.42006,21.9158,0.512303,0.126686,0.638989,34.1512,34.8899,0.1749,0.171197,0.1749,175.7468,44.4,175.7468,44.4,220.1468
85,0.0,0.0,0.0,0.400598,0.0,0.400598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.400598,0.0,0.400598,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.157479,0.157479,0.157479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.157479,0.157479,0.157479,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.69241,0.69241,0.69241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.69241,0.69241,0.69241,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.689206,0.689206,0.689206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.689206,0.689206,0.689206,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.175941,0.0,0.175941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.175941,0.0,0.175941,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0601817,0.0601817,0.0601817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0601817,0.0601817,0.0601817,0.0,0.0,0.0,0.0,0.0
95,54.6,17.6726,72.2726,0.17703,0.176411,0.17703,0.042,0.0135943,0.042,5.61425,1.81719,7.43143,0.161097,0.0519608,0.213058,34.85,34.9723,0.17703,0.176411,0.17703,54.6,17.6726,54.6,17.6726,72.2726
97,17.6726,54.6,72.2726,0.176701,0.177321,0.177321,0.0135943,0.042,0.042,1.82017,5.62347,7.44365,0.0520462,0.161362,0.213408,34.9723,34.85,0.176701,0.177321,0.177321,17.6726,54.6,17.6726,54.6,72.2726
99,4445.7777,0.0,4445.7777,0.346258,0.0,0.346258,0.740963,0.0,0.740963,1750.7517,0.0,1750.7517,25.6564,0.0,25.6564,68.2383,0.0,0.346258,0.0,0.346258,4445.7777,0.0,4445.7777,0.0,4445.7777
100,0.0,0.0,0.0,0.179491,0.179491,0.179491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.179491,0.179491,0.179491,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.172731,0.172731,0.172731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.172731,0.172731,0.172731,0.0,0.0,0.0,0.0,0.0
104,4401.6875,0.0,4401.6875,0.0976651,0.0,0.0976651,0.733615,0.0,0.733615,490.6781,0.0,490.6781,7.16486,0.0,7.16486,68.484,0.0,0.0976651,0.0,0.0976651,4401.6875,0.0,4401.6875,0.0,4401.6875
105,53.2086,0.0,53.2086,0.697837,0.694959,0.697837,0.0409297,0.0,0.0409297,21.5704,0.0,21.5704,0.618848,0.0,0.618848,34.8557,35.0,0.697837,0.694959,0.697837,53.2086,0.0,53.2086,0.0,53.2086
