ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
49,320.4688,38.4,358.8688,0.0383296,0.0377642,0.0383296,0.246514,0.0295385,0.246514,6.04981,0.724915,6.77473,0.204724,0.0241691,0.228893,29.5511,29.9935,0.0383296,0.0377642,0.0383296
51,38.4,320.4688,358.8688,0.187333,0.190137,0.190137,0.0295385,0.246514,0.246514,3.59601,30.0106,33.6066,0.119893,1.01555,1.13544,29.9935,29.551,0.187333,0.190137,0.190137
53,5283.9436,0.0,5283.9436,0.236619,0.0,0.236619,1.32099,0.0,1.32099,652.8894,0.0,652.8894,20.8381,0.0,20.8381,31.3316,0.0,0.236619,0.0,0.236619
54,378.4831,0.0,378.4831,1.28864,0.0,1.28864,0.0573459,0.0,0.0573459,487.3285,0.0,487.3285,8.12882,0.0,8.12882,59.9507,0.0,1.28864,0.0,1.28864
55,17.2831,0.0,17.2831,0.424913,0.0,0.424913,0.0132947,0.0,0.0132947,3.67175,0.0,3.67175,0.122397,0.0,0.122397,29.9987,0.0,0.424913,0.0,0.424913
56,1111.2353,131.4,1242.6353,0.103022,0.0873325,0.103022,0.854796,0.101077,0.854796,48.3999,5.72313,54.123,1.90803,0.191258,2.09929,25.3663,29.9236,0.103022,0.0873325,0.103022
58,131.4,1111.2353,1242.6353,0.0347124,0.0409487,0.0409487,0.101077,0.854796,0.854796,2.2748,19.2377,21.5125,0.0760202,0.758395,0.834415,29.9236,25.3663,0.0347124,0.0409487,0.0409487
60,1524.1447,0.0,1524.1447,0.210961,0.0,0.210961,0.381036,0.0,0.381036,232.7049,0.0,232.7049,5.35892,0.0,5.35892,43.4238,0.0,0.210961,0.0,0.210961
61,82.8766,184.1852,267.0618,0.317803,0.319073,0.319073,0.0637512,0.141681,0.141681,13.1558,29.2376,42.3934,0.438973,0.979476,1.41845,29.9695,29.8502,0.317803,0.319073,0.319073
63,924.0524,223.8,1147.8524,0.361657,0.323477,0.361657,0.71081,0.172154,0.71081,148.3557,35.9309,184.2866,5.56983,1.20657,6.7764,26.6356,29.7794,0.361657,0.323477,0.361657
65,390.0,966.1437,1356.1437,0.166847,0.185708,0.185708,0.3,0.743187,0.743187,31.8193,78.8257,110.6451,1.08451,2.99034,4.07485,29.3399,26.3601,0.166847,0.185708,0.185708
