ID1,AB_Flow_PCE,BA_Flow_PCE,Tot_Flow_PCE,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF,AB_Flow_OD_Number,BA_Flow_OD_Number,AB_Flow,BA_Flow,Tot_Flow
40,7883.9392,0.0,7883.9392,0.672766,0.0,0.672766,1.31399,0.0,1.31399,4696.967,0.0,4696.967,88.4008,0.0,88.4008,53.1327,0.0,0.672766,0.0,0.672766,7883.9392,0.0,7883.9392,0.0,7883.9392
41,0.0,0.0,0.0,1.24044,1.24044,1.24044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,1.24044,1.24044,1.24044,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.200366,0.200366,0.200366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.200366,0.200366,0.200366,0.0,0.0,0.0,0.0,0.0
45,223.0085,903.5577,1126.5663,0.905103,1.15069,1.15069,0.18584,0.752965,0.752965,94.6419,383.4582,478.1001,3.36409,17.3286,20.6927,28.133,22.1286,0.905103,1.15069,1.15069,223.0085,903.5577,223.0085,903.5577,1126.5663
47,903.5577,223.0085,1126.5663,0.259822,0.204369,0.259822,0.752965,0.18584,0.752965,86.5834,21.3698,107.9532,3.91274,0.7596,4.67234,22.1286,28.133,0.259822,0.204369,0.259822,903.5577,223.0085,903.5577,223.0085,1126.5663
49,27.0,36.3067,63.3067,0.177498,0.177895,0.177895,0.0225,0.0302556,0.0302556,2.38367,3.2053,5.58897,0.0798741,0.107646,0.18752,29.8428,29.7762,0.177498,0.177895,0.177895,27.0,36.3067,27.0,36.3067,63.3067
51,316.2283,408.9018,725.1302,0.334253,0.345322,0.345322,0.263524,0.340752,0.340752,48.0057,62.0742,110.0798,1.76167,2.35338,4.11505,27.2501,26.3766,0.334253,0.345322,0.345322,316.2283,408.9018,316.2283,408.9018,725.1302
53,381.9018,279.9216,661.8234,0.206379,0.199164,0.206379,0.318252,0.233268,0.318252,34.9811,25.64,60.621,1.31361,0.929172,2.24278,26.6298,27.5944,0.206379,0.199164,0.206379,381.9018,279.9216,381.9018,279.9216,661.8234
55,27.0,36.3067,63.3067,0.367564,0.368386,0.368386,0.0225,0.0302556,0.0302556,4.93611,6.63756,11.5737,0.165404,0.222915,0.388318,29.8428,29.7762,0.367564,0.368386,0.368386,27.0,36.3067,27.0,36.3067,63.3067
57,751.7038,0.0,751.7038,0.0938184,0.0,0.0938184,0.125284,0.0,0.125284,101.5853,0.0,101.5853,1.17539,0.0,1.17539,86.4265,0.0,0.0938184,0.0,0.0938184,751.7038,0.0,751.7038,0.0,751.7038
58,27.0,36.3067,63.3067,0.0900197,0.090221,0.090221,0.0225,0.0302556,0.0302556,1.2089,1.6256,2.83449,0.0405089,0.0545938,0.0951026,29.8428,29.7762,0.0900197,0.090221,0.090221,27.0,36.3067,27.0,36.3067,63.3067
60,66.1137,40.5067,106.6204,0.259551,0.257799,0.259551,0.0550947,0.0337556,0.0550947,8.44959,5.17692,13.6265,0.285998,0.174043,0.460041,29.5442,29.7451,0.259551,0.257799,0.259551,66.1137,40.5067,66.1137,40.5067,106.6204
62,66.1137,40.5067,106.6204,0.594744,0.590728,0.594744,0.0550947,0.0337556,0.0550947,19.3617,11.8626,31.2242,0.655345,0.398807,1.05415,29.5442,29.7451,0.594744,0.590728,0.594744,66.1137,40.5067,66.1137,40.5067,106.6204
64,17.3756,0.0,17.3756,0.148626,0.0,0.148626,0.0144796,0.0,0.0144796,1.28723,0.0,1.28723,0.0430409,0.0,0.0430409,29.9072,0.0,0.148626,0.0,0.148626,17.3756,0.0,17.3756,0.0,17.3756
65,66.1137,40.5067,106.6204,0.70217,0.697428,0.70217,0.0550947,0.0337556,0.0550947,22.8589,14.0052,36.8641,0.773717,0.470842,1.24456,29.5442,29.7451,0.70217,0.697428,0.70217,66.1137,40.5067,66.1137,40.5067,106.6204
67,26.5137,2.4,28.9137,0.17273,0.171894,0.17273,0.0220947,0.002,0.0220947,2.27811,0.206213,2.48432,0.0763282,0.00687574,0.083204,29.8462,29.9913,0.17273,0.171894,0.17273,26.5137,2.4,26.5137,2.4,28.9137
69,2.4,26.5137,28.9137,0.0425923,0.0427994,0.0427994,0.002,0.0220947,0.0220947,0.051096,0.564476,0.615572,0.00170369,0.0189128,0.0206165,29.9913,29.8462,0.0425923,0.0427994,0.0427994,2.4,26.5137,2.4,26.5137,28.9137
71,26.5137,0.0,26.5137,0.0572737,0.0,0.0572737,0.0220947,0.0,0.0220947,0.755374,0.0,0.755374,0.0253089,0.0,0.0253089,29.8462,0.0,0.0572737,0.0,0.0572737,26.5137,0.0,26.5137,0.0,26.5137
72,0.0,0.0,0.0,0.12916,0.12916,0.12916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.12916,0.12916,0.12916,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.222864,0.222864,0.222864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.222864,0.222864,0.222864,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.405174,0.405174,0.405174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.405174,0.405174,0.405174,0.0,0.0,0.0,0.0,0.0
78,1.2,0.0,1.2,0.582123,0.58205,0.582123,0.001,0.0,0.001,0.34923,0.0,0.34923,0.0116425,0.0,0.0116425,29.9962,30.0,0.582123,0.58205,0.582123,1.2,0.0,1.2,0.0,1.2
80,0.0,0.0,0.0,0.388476,0.388476,0.388476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.388476,0.388476,0.388476,0.0,0.0,0.0,0.0,0.0
82,197.889,0.0,197.889,0.0805116,0.0,0.0805116,0.164907,0.0,0.164907,7.53304,0.0,7.53304,0.265539,0.0,0.265539,28.3688,0.0,0.0805116,0.0,0.0805116,197.889,0.0,197.889,0.0,197.889
83,705.6688,223.0085,928.6773,0.102349,0.086318,0.102349,0.588057,0.18584,0.588057,28.5605,9.02582,37.5864,1.20374,0.320827,1.52457,23.7265,28.133,0.102349,0.086318,0.102349,705.6688,223.0085,705.6688,223.0085,928.6773
85,223.0085,903.5577,1126.5663,0.520629,0.661897,0.661897,0.18584,0.752965,0.752965,54.4395,220.5711,275.0106,1.93508,9.9677,11.9028,28.133,22.1286,0.520629,0.661897,0.661897,223.0085,903.5577,223.0085,903.5577,1126.5663
87,11.4393,197.889,209.3283,0.364033,0.384242,0.384242,0.00953279,0.164907,0.164907,2.07824,35.9515,38.0297,0.069405,1.26729,1.33669,29.9437,28.3688,0.364033,0.384242,0.384242,11.4393,197.889,11.4393,197.889,209.3283
89,197.889,11.4393,209.3283,0.311903,0.295498,0.311903,0.164907,0.00953279,0.164907,29.1831,1.68698,30.8701,1.0287,0.0563385,1.08504,28.3688,29.9437,0.311903,0.295498,0.311903,197.889,11.4393,197.889,11.4393,209.3283
91,143.4,450.5488,593.9488,0.0540007,0.0556489,0.0556489,0.0398333,0.125152,0.125152,7.66358,24.0782,31.7418,0.129062,0.417876,0.546937,59.3793,57.6206,0.0540007,0.0556489,0.0556489,143.4,450.5488,143.4,450.5488,593.9488
93,651.6152,168.0,819.6152,0.147878,0.1407,0.147878,0.181004,0.0466667,0.181004,90.538,23.3426,113.8806,1.60599,0.393961,1.99995,56.3752,59.251,0.147878,0.1407,0.147878,651.6152,168.0,651.6152,168.0,819.6152
95,222.489,212.5058,434.9947,0.108656,0.108295,0.108656,0.185407,0.177088,0.185407,11.3371,10.8284,22.1656,0.402914,0.383555,0.786469,28.1379,28.2318,0.108656,0.108295,0.108656,222.489,212.5058,222.489,212.5058,434.9947
97,222.489,212.5058,434.9947,0.0677045,0.0674793,0.0677045,0.185407,0.177088,0.185407,7.06425,6.74727,13.8115,0.251058,0.238996,0.490054,28.1379,28.2318,0.0677045,0.0674793,0.0677045,222.489,212.5058,222.489,212.5058,434.9947
