ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
50,3.6,6.95058,10.5506,0.349558,0.349632,0.349632,0.004,0.00772287,0.00772287,0.733979,1.41711,2.15108,0.0209735,0.0405025,0.0614759,34.9956,34.9881,0.349558,0.349632,0.349632
52,0.0,35.4,35.4,0.142877,0.143434,0.143434,0.0,0.0393333,0.0393333,0.0,2.95041,2.95041,0.0,0.0846263,0.0846263,35.0,34.864,0.142877,0.143434,0.143434
54,0.0,0.0,0.0,0.105135,0.105135,0.105135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.105135,0.105135,0.105135
56,0.0,0.0,0.0,0.135502,0.135502,0.135502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.135502,0.135502,0.135502
58,0.0,0.0,0.0,0.135686,0.135686,0.135686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.135686,0.135686,0.135686
60,0.0,0.0,0.0,0.146719,0.146719,0.146719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.146719,0.146719,0.146719
62,0.0,0.0,0.0,0.20183,0.0,0.20183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.20183,0.0,0.20183
63,0.0,0.0,0.0,0.35034,0.35034,0.35034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.35034,0.35034,0.35034
65,0.0,0.0,0.0,0.131714,0.131714,0.131714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.131714,0.131714,0.131714
67,0.0,0.0,0.0,0.128657,0.128657,0.128657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.128657,0.128657,0.128657
69,0.0,0.0,0.0,0.0663377,0.0663377,0.0663377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0663377,0.0663377,0.0663377
71,0.0,0.0,0.0,0.0891257,0.0891257,0.0891257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0891257,0.0891257,0.0891257
73,0.0,0.0,0.0,0.163263,0.163263,0.163263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.163263,0.163263,0.163263
75,0.0,0.0,0.0,0.0770091,0.0770091,0.0770091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0770091,0.0770091,0.0770091
77,0.0,0.0,0.0,0.0165377,0.0165377,0.0165377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0165377,0.0165377,0.0165377
79,12.0,30.6,42.6,0.415566,0.416548,0.416548,0.0133333,0.034,0.034,2.90672,7.41215,10.3189,0.0831132,0.212439,0.295553,34.9731,34.8906,0.415566,0.416548,0.416548
81,4.8,30.6,35.4,0.132309,0.132698,0.132698,0.00533333,0.034,0.034,0.370392,2.36125,2.73164,0.0105847,0.0676757,0.0782604,34.9932,34.8906,0.132309,0.132698,0.132698
83,13.8,1.2,15.0,0.358911,0.358579,0.358911,0.0153333,0.00133333,0.0153333,2.88649,0.250999,3.13749,0.0825495,0.00717158,0.089721,34.9668,34.9991,0.358911,0.358579,0.358911
85,1.2,6.6,7.8,0.196395,0.196452,0.196452,0.00133333,0.00733333,0.00733333,0.137473,0.756103,0.893576,0.0039279,0.0216097,0.0255376,34.9991,34.989,0.196395,0.196452,0.196452
87,30.6,12.0,42.6,0.119747,0.119464,0.119747,0.034,0.0133333,0.034,2.1308,0.835608,2.96641,0.0610708,0.0238929,0.0849637,34.8906,34.9731,0.119747,0.119464,0.119747
89,0.0,225.3974,225.3974,0.165069,0.175413,0.175413,0.0,0.250442,0.250442,0.0,21.7035,21.7035,0.0,0.658959,0.658959,35.0,32.936,0.165069,0.175413,0.175413
