Node_ID,Lon,Lat,Tract_Node
0,-87.9246371,43.0560583,0
1,-87.9206995,43.059123,0
2,-87.9205586,43.0651902,0
3,-87.927893,43.0355912,0
4,-87.9245956,43.035468,0
5,-87.9186571,43.046973,0
6,-87.9173431,43.0469577,0
7,-87.955224,43.04031,0
8,-87.9561273,43.040315,0
9,-87.9543964,43.0403055,0
10,-87.9551941,43.043266,0
11,-87.9564245,43.0432702,0
12,-87.9529042,43.0432573,0
13,-87.9552048,43.0444746,0
14,-87.952871,43.0444608,0
15,-87.9185791,43.0484862,0
16,-87.9185529,43.0499018,0
17,-87.9187366,43.0499567,0
18,-87.955232,43.0606259,0
19,-87.9551012,43.0606252,0
20,-87.9563278,43.0606153,0
21,-87.9185276,43.051247,0
22,-87.9056987,42.9783331,0
23,-87.9057412,42.9774001,0
24,-87.9056678,42.9792187,0
25,-87.9172913,43.0498538,0
26,-87.8944637,42.9783207,0
27,-87.89449,42.9764589,0
28,-87.894449,42.9792945,0
29,-87.9700802,43.05703,0
30,-87.9688327,43.0570254,0
31,-87.9700716,43.0591112,0
32,-87.9704605,43.0592831,0
33,-87.9688733,43.0584953,0
34,-87.9185041,43.0524928,0
35,-87.9700594,43.0606286,0
36,-87.9688862,43.0606297,0
37,-87.9711883,43.0606484,0
38,-87.9184992,43.0526371,0
39,-87.918692,43.0526282,0
40,-87.9699551,43.0679234,0
41,-87.9687824,43.067913,0
42,-87.9711885,43.0679354,0
43,-87.9699216,43.0715869,0
44,-87.9711517,43.0715895,0
45,-87.9184816,43.0538758,0
46,-87.9687248,43.0715686,0
47,-87.9698403,43.0751964,0
48,-87.9710723,43.0752013,0
49,-87.9686814,43.0751894,0
50,-87.9697175,43.0825277,0
51,-87.9685856,43.0825191,0
52,-87.9708856,43.0825365,0
53,-87.9699273,43.0897705,0
54,-87.968441,43.0897631,0
55,-87.9184655,43.0546345,0
56,-87.9689405,43.11194,0
57,-87.9677125,43.1119385,0
58,-87.9184537,43.0552031,0
59,-87.9690434,43.1047067,0
60,-87.970276,43.1047121,0
61,-87.9703307,43.0425908,0
62,-87.9710567,43.0426514,0
63,-87.964386,43.042013,0
64,-87.9844507,42.9739164,0
65,-87.985551,42.9739071,0
66,-87.9184407,43.0557629,0
67,-87.9840596,42.98849,0
68,-87.9845498,42.9884871,0
69,-87.9189312,43.0571718,0
70,-87.9186187,43.0565013,0
71,-87.9364511,42.9739039,0
